Date,Account,Amount,Subcategory,Memo,Property,Description
2017-01-09,20-74-09 40406538,-4.78,PAYMENT,ITUNES.COM/BILL       LUXEMBOURG,,
2017-01-09,20-53-30 30728691,226.44,DIRECTDEP,BEALS ESTATE AGENT    FLAT 78 ALHAMBRA R BGC,,
2017-01-03,20-74-09 60458872,-93.99,DIRECTDEBIT,CAPITAL HOME LOANS    CHL00002/907371904 DDR,,
2017-01-09,20-53-30 30728691,-196.17,DIRECTDEBIT,BHAM MIDSHIRES        020007900597/89565 DDR,,
2017-01-04,20-74-09 60458872,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3169 FAWCETT  BGC,,
2017-01-09,20-74-09 40406538,-1.8,PAYMENT,INDIGO PARK SVS UK    ON 07 JAN          BCC,,
2017-01-04,20-74-09 60458872,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1116-18 ALHAM BGC,,
2017-01-10,20-74-09 40406538,-33.0,PAYMENT,A SPICE               CLEANSER           BBP,,
2017-01-11,20-53-30 30728691,284.79,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3171 FAWCETT  BGC,,
2017-01-11,20-53-30 30728691,190.36,DIRECTDEP,BEALS ESTATE AGENT    FLAT 312-14 ALHAMB BGC,,
2017-01-04,20-74-09 60458872,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2169 FAWCETT  BGC,,
2017-01-10,20-74-09 40406538,-2.89,PAYMENT,MCDONALDS             ON 09 JAN          CLP,,
2017-01-10,20-74-09 40406538,-30.45,PAYMENT,BP BEDFORD EXPRESS    ON 08 JAN          BCC,,
2017-01-12,20-53-30 30728691,41.71,FT,207409 60458872       MOBILE-CHANNEL     FT,,
2017-01-04,20-74-09 60458872,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 184-6 ALHAMBR BGC,,
2017-01-11,20-74-09 40406538,-20.09,PAYMENT,TESCO STORE 2547      ON 10 JAN          CLP,,
2017-01-12,20-53-30 30728691,377.18,DIRECTDEP,BEALS ESTATE AGENT    FLAT 234-6 ALHAMBR BGC,,
2017-01-04,20-74-09 60458872,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 4321 LONDON R BGC,,
2017-01-04,20-74-09 60458872,353.93,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3163 FRATTON  BGC,,
2017-01-12,20-53-30 30728691,-41.71,PAYMENT,SOUTHERN ELECTRIC     6882766014         BBP,,
2017-01-11,20-74-09 40406538,-6.05,PAYMENT,COSTA COFFEE 43035    ON 10 JAN          CLP,,
2017-01-12,20-53-30 30728691,-37.68,DIRECTDEBIT,FRIENDS LIFE          014033997          DDR,,
2017-01-04,20-74-09 60458872,257.24,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1169 FAWCETT  BGC,,
2017-01-11,20-74-09 40406538,-54.45,PAYMENT,BP BEDFORD EXPRESS    ON 09 JAN          BCC,,
2017-01-11,20-74-09 40406538,-37.3,PAYMENT,TESCO STORE 2547      ON 10 JAN          BCC,,
2017-01-12,20-53-30 30728691,-55.08,DIRECTDEBIT,EE & T-MOBILE         Q20664165683367284 DDR,,
2017-01-06,20-74-09 60458872,524.6,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3321 LONDON R BGC,,
2017-01-06,20-74-09 60458872,482.56,DIRECTDEP,BEALS ESTATE AGENT    196A KINGSTON ROAD BGC,,
2017-01-11,20-74-09 40406538,-5.5,PAYMENT,BUDGENS               ON 10 JAN          BCC,,
2017-01-16,20-53-30 30728691,-165.41,DIRECTDEBIT,MORTGAGE EXPRESS      2008784100021930   DDR,,
2017-01-12,20-74-09 40406538,-15.8,PAYMENT,NEW COUNTY SERVICE    ON 11 JAN          CLP,,
2017-01-16,20-53-30 30728691,-171.18,DIRECTDEBIT,MORTGAGE EXPRESS      2007664780021930   DDR,,
2017-01-09,20-74-09 60458872,-16.5,PAYMENT,HALFORDS 0887         ON 08 JAN          CLP,,
2017-01-09,20-74-09 60458872,-2027.69,PAYMENT,GRAN MELIA PALACIO    SPAIN,,
2017-01-12,20-74-09 40406538,-37.99,PAYMENT,SPORTSDIRECT 233      ON 11 JAN          BCC,,
2017-01-16,20-53-30 30728691,-171.18,DIRECTDEBIT,MORTGAGE EXPRESS      2007545340021930   DDR,,
2017-01-16,20-53-30 30728691,-165.45,DIRECTDEBIT,MORTGAGE EXPRESS      2007544710021930   DDR,,
2017-01-09,20-74-09 60458872,-1488.76,PAYMENT,GRAN MELIA PALACIO    SPAIN,,
2017-01-13,20-74-09 40406538,-45.92,PAYMENT,TESCO STORE 2105      ON 12 JAN          BCC,,
2017-01-16,20-53-30 30728691,-165.41,DIRECTDEBIT,MORTGAGE EXPRESS      2007107670021930   DDR,,
2017-01-09,20-74-09 60458872,-733.8,PAYMENT,EASYJET ERLXBQ7       ON 06 JAN          BCC,,
2017-01-13,20-74-09 40406538,-0.79,PAYMENT,ITUNES.COM/BILL       LUXEMBOURG,,
2017-01-09,20-74-09 60458872,-80.57,PAYMENT,CHIMICHANGA           ON 07 JAN          BCC,,
2017-01-16,20-74-09 40406538,-27.4,PAYMENT,BP BEDFORD EXPRESS    ON 13 JAN          CLP,,
2017-01-16,20-53-30 30728691,-165.47,DIRECTDEBIT,MORTGAGE EXPRESS      2006332310021930   DDR,,
2017-01-16,20-53-30 30728691,-165.44,DIRECTDEBIT,MORTGAGE EXPRESS      2005787290021930   DDR,,
2017-01-16,20-74-09 40406538,-25.23,PAYMENT,MARKS&SPENCER PLC     ON 15 JAN          CLP,,
2017-01-09,20-74-09 60458872,-17.9,DIRECTDEBIT,BHAM MIDSHIRES        020010556389/35299 DDR,,
2017-01-16,20-74-09 40406538,-18.37,PAYMENT,BOOTS 6407            ON 14 JAN          CLP,,
2017-01-10,20-74-09 60458872,490.5,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1171 FAWCETT  BGC,,
2017-01-16,20-53-30 30728691,-165.91,DIRECTDEBIT,PLATFORM FUNDING      01050228957685     DDR,,
2017-01-16,20-74-09 40406538,-13.75,PAYMENT,COSTA COFFEE          ON 14 JAN          CLP,,
2017-01-10,20-74-09 60458872,464.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1412-14 ALHAM BGC,,
2017-01-16,20-53-30 30728691,-51.49,DIRECTDEBIT,BT GROUP PLC          GB14092007-000028  DDR,,
2017-01-16,20-74-09 40406538,-9.28,PAYMENT,BP NEWHAM AVENUE C    ON 13 JAN          CLP,,
2017-01-10,20-74-09 60458872,408.32,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2321 LONDON R BGC,,
2017-01-17,20-53-30 30728691,109.5,FT,209254 13686035       INTERCO 1618       FT,,
2017-01-16,20-74-09 40406538,-9.15,PAYMENT,TIGER                 ON 14 JAN          CLP,,
2017-01-17,20-53-30 30728691,103.4,FT,209254 13686035       INTERCOM DEC2016   FT,,
2017-01-10,20-74-09 60458872,-1250.0,PAYMENT,DB GAS                M TUCKER           BBP,F11618ALH,Replace boiler
2017-01-17,20-53-30 30728691,54.5,FT,209254 23534332       INTERCO 1214       FT,,
2017-01-16,20-74-09 40406538,-6.74,PAYMENT,BOOTS 6407            ON 14 JAN          CLP,,
2017-01-10,20-74-09 60458872,-194.27,PAYMENT,TESCO STORE 2105      ON 09 JAN          BCC,,
2017-01-17,20-53-30 30728691,-500.0,FT,207409 40406538       MOBILE-CHANNEL     FT,,
2017-01-16,20-74-09 40406538,-3.45,PAYMENT,HALFORDS 0887         ON 12 JAN          CLP,,
2017-01-10,20-74-09 60458872,-61.95,DIRECTDEBIT,BHAM MIDSHIRES        020009309942/35735 DDR,,
2017-01-16,20-74-09 40406538,-20.0,CASH,NOTEMACHINE           METRO BANK ATM,,
2017-01-17,20-53-30 30728691,-81.74,FT,209254 83672832       INTERCO 468        FT,,
2017-01-11,20-74-09 60458872,196.63,DIRECTDEP,BEALS ESTATE AGENT    FLAT 68 ALHAMBRA R BGC,,
2017-01-18,20-53-30 30728691,612.48,DIRECTDEP,BEALS ESTATE AGENT    23C HAMPSHIRE TERR BGC,,
2017-01-16,20-74-09 40406538,-53.0,PAYMENT,SMIGGLE               ON 14 JAN          BCC,,
2017-01-12,20-74-09 60458872,114.06,DIRECTDEP,BEALS ESTATE AGENT    FLAT 174-6 ALHAMBR BGC,,
2017-01-18,20-53-30 30728691,289.2,DIRECTDEP,BEALS ESTATE AGENT    196B KINGSTON ROAD BGC,,
2017-01-16,20-74-09 40406538,-40.7,PAYMENT,TESCO PAY AT PUMP     ON 14 JAN          BCC,,
2017-01-12,20-74-09 60458872,-41.71,FT,205330 30728691       MOBILE-CHANNEL     FT,,
2017-01-12,20-74-09 60458872,-126.04,DIRECTDEBIT,BHAM MIDSHIRES        020000389757/37175 DDR,,
2017-01-18,20-53-30 30728691,-1581.79,FT,207409 60458872       MT DEC OVERPMT     FT,,
2017-01-16,20-74-09 40406538,-35.72,PAYMENT,TESCO STORE 2105      ON 13 JAN          BCC,,
2017-01-13,20-74-09 60458872,347.47,DIRECTDEP,BEALS ESTATE AGENT    FLAT 116-18 ALHAMB BGC,,
2017-01-19,20-53-30 30728691,357.32,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1612-14 ALHAM BGC,,
2017-01-16,20-74-09 40406538,-4.18,PAYMENT,MKC PARKING RINGGO    ON 14 JAN          BCC,,
2017-01-19,20-53-30 30728691,345.3,DIRECTDEP,BEALS ESTATE AGENT    FLAT 224-6 ALHAMBR BGC,,
2017-01-17,20-74-09 40406538,500.0,FT,205330 30728691       MOBILE-CHANNEL     FT,,
2017-01-13,20-74-09 60458872,324.8,DIRECTDEP,BEALS ESTATE AGENT    SHOP196 KINGSTON R BGC,,
2017-01-13,20-74-09 60458872,-79.75,PAYMENT,DVLA VEHICLE TAX      ON 12 JAN          BCC,,
2017-01-17,20-74-09 40406538,-11.95,PAYMENT,BP BEDFORD EXPRESS    ON 15 JAN          CLP,,
2017-01-19,20-53-30 30728691,278.28,DIRECTDEP,BEALS ESTATE AGENT    FLAT 312-14 ALHAMB BGC,,
2017-01-16,20-74-09 60458872,-17.27,PAYMENT,CO-OP GROUP 310252    ON 15 JAN          CLP,,
2017-01-17,20-74-09 40406538,-39.66,PAYMENT,TESCO STORE 2105      ON 16 JAN          BCC,,
2017-01-19,20-53-30 30728691,242.2,DIRECTDEP,BEALS ESTATE AGENT    FLAT 78 ALHAMBRA R BGC,,
2017-01-16,20-74-09 60458872,-13.17,DIRECTDEBIT,BHAM MIDSHIRES        020010557032/41445 DDR,,
2017-01-18,20-74-09 40406538,-29.44,PAYMENT,MARKS&SPENCER PLC     ON 17 JAN          CLP,,
2017-01-19,20-53-30 30728691,179.21,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3171 FAWCETT  BGC,,
2017-01-18,20-74-09 40406538,-76.32,PAYMENT,JEWSON LIMITED        ON 17 JAN          BCC,,
2017-01-19,20-53-30 30728691,107.57,DIRECTDEP,BEALS ESTATE AGENT    FLAT 316-18 ALHAMB BGC,,
2017-01-16,20-74-09 60458872,-163.35,DIRECTDEBIT,BHAM MIDSHIRES        020004110676/41435 DDR,,
2017-01-16,20-74-09 60458872,-197.26,DIRECTDEBIT,PLATFORM FUNDING      01050228979115     DDR,,
2017-01-19,20-53-30 30728691,86.8,DIRECTDEP,BEALS ESTATE AGENT    196B KINGSTON ROAD BGC,,
2017-01-18,20-74-09 40406538,-61.5,DIRECTDEBIT,MERCEDES-BENZ CARS    0376305421 0131745 DDR,,
2017-01-19,20-74-09 40406538,-19.45,PAYMENT,TESCO STORE 2105      ON 18 JAN          CLP,,
2017-01-20,20-53-30 30728691,428.28,DIRECTDEP,BEALS ESTATE AGENT    FLAT 716-18 ALHAMB BGC,,
2017-01-16,20-74-09 60458872,-165.91,DIRECTDEBIT,PLATFORM FUNDING      01050228957650     DDR,,
2017-01-19,20-74-09 40406538,-11.2,PAYMENT,TESCO STORE 2105      ON 18 JAN          CLP,,
2017-01-23,20-53-30 30728691,432.56,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1216-18 ALHAM BGC,,
2017-01-17,20-74-09 60458872,2707.43,FT,209254 13438023       INTERCO            FT,,
2017-01-23,20-53-30 30728691,428.29,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1112-14 ALHAM BGC,,
2017-01-17,20-74-09 60458872,393.15,FT,209254 13676978       INTERCO 23HT MT    FT,,
2017-01-19,20-74-09 40406538,-40.29,PAYMENT,TESCO PAY AT PUMP     ON 18 JAN          BCC,,
2017-01-23,20-53-30 30728691,419.75,DIRECTDEP,BEALS ESTATE AGENT    FLAT 512-14 ALHAMB BGC,,
2017-01-17,20-74-09 60458872,249.0,FT,209254 33378969       INTERCO LORDSWD MT FT,,
2017-01-19,20-74-09 40406538,-6.0,PAYMENT,LAND REGISTRY         ON 18 JAN          BCC,,
2017-01-19,20-74-09 40406538,-3.0,PAYMENT,LAND REGISTRY         ON 18 JAN          BCC,,
2017-01-23,20-53-30 30728691,-500.0,FT,207409 40406538       MOBILE-CHANNEL     FT,,
2017-01-17,20-74-09 60458872,157.61,FT,200574 33631583       INTERCO 163FRTN MT FT,,
2017-01-23,20-53-30 30728691,-50.0,DIRECTDEBIT,SKY DIGITAL           00620054164228     DDR,,
2017-01-17,20-74-09 60458872,109.5,FT,209254 13686035       INTERCO 1618       FT,,
2017-01-20,20-74-09 40406538,-25.8,PAYMENT,BP BEDFORD EXPRESS    ON 18 JAN          CLP,,
2017-01-23,20-74-09 40406538,500.0,FT,205330 30728691       MOBILE-CHANNEL     FT,,
2017-01-25,20-53-30 30728691,320.72,DIRECTDEP,BEALS ESTATE AGENT    FLAT 316-18 ALHAMB BGC,,
2017-01-17,20-74-09 60458872,54.5,FT,209254 23534332       INTERCO 1214       FT,,
2017-01-17,20-74-09 60458872,-81.75,FT,209254 83672832       INTERCO 468        FT,,
2017-01-23,20-74-09 40406538,-24.82,PAYMENT,BP BEDFORD EXPRESS    ON 21 JAN          CLP,,
2017-01-26,20-53-30 30728691,95.03,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1616-18 ALHAM BGC,,
2017-01-17,20-74-09 60458872,-23.4,PAYMENT,GRO HM PASSPORT OF    ON 16 JAN          BCC,,
2017-01-23,20-74-09 40406538,-22.05,PAYMENT,MARKS&SPENCER PLC     ON 22 JAN          CLP,,
2017-01-26,20-53-30 30728691,70.97,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1612-14 ALHAM BGC,,
2017-01-18,20-74-09 60458872,1581.79,FT,205330 30728691       MT DEC OVERPMT     FT,,
2017-01-23,20-74-09 40406538,-17.96,PAYMENT,T K MAXX              ON 20 JAN          CLP,,
2017-01-27,20-53-30 30728691,-1200.0,REPEATPMT,MR MATTHEW STUART     207409 40406538    STO,,
2017-01-30,20-53-30 30728691,432.56,DIRECTDEP,BEALS ESTATE AGENT    FLAT 88 ALHAMBRA R BGC,,
2017-01-18,20-74-09 60458872,-130.23,DIRECTDEBIT,BHAM MIDSHIRES        020003649652/41838 DDR,,
2017-01-23,20-74-09 40406538,-11.87,PAYMENT,MCDONALDS             ON 20 JAN          CLP,,
2017-01-30,20-53-30 30728691,-400.0,REPEATPMT,F VALENTINO           RENT               STO,,
2017-01-19,20-74-09 60458872,576.48,DIRECTDEP,BEALS ESTATE AGENT    23B HAMPSHIRE TERR BGC,,
2017-01-23,20-74-09 40406538,-10.53,PAYMENT,BP BEDFORD EXPRESS    ON 19 JAN          CLP,,
2017-01-30,20-53-30 30728691,-311.08,DIRECTDEBIT,THE HARPUR TRUST      TUCKM8  PVALA1     DDR,,
2017-01-19,20-74-09 60458872,468.64,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2163 FRATTON  BGC,,
2017-01-23,20-74-09 40406538,-9.7,PAYMENT,STARBUCKS             ON 22 JAN          CLP,,
2017-01-23,20-74-09 40406538,-4.68,PAYMENT,BP NEWHAM AVENUE C    ON 20 JAN          CLP,,
2017-01-30,20-53-30 30728691,-1301.26,DIRECTDEBIT,THE HARPUR TRUST      TUCKM8  BVALR8     DDR,,
2017-01-19,20-74-09 60458872,468.64,DIRECTDEP,BEALS ESTATE AGENT    FLAT 58 ALHAMBRA R BGC,,
2017-01-23,20-74-09 40406538,-10.0,CASH,NOTEMACHINE           METRO BANK ATM,,
2017-01-30,20-53-30 30728691,-1132.63,DIRECTDEBIT,THE HARPUR TRUST      TUCKMS  GVALS1     DDR,,
2017-01-19,20-74-09 60458872,464.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 616-18 ALHAMB BGC,,
2017-01-30,20-53-30 30728691,-33.0,DIRECTDEBIT,BOOTS REWARDSCHEME    A45028400000736    DDR,,
2017-01-23,20-74-09 40406538,-30.29,PAYMENT,MARKS&SPENCER PLC     ON 20 JAN          BCC,,
2017-01-19,20-74-09 60458872,432.56,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1169 FAWCETT  BGC,,
2017-01-23,20-74-09 40406538,-8.0,PAYMENT,CLAIRE'S ACCESSORI    ON 22 JAN          BCC,,
2017-01-19,20-74-09 60458872,428.29,DIRECTDEP,BEALS ESTATE AGENT    FLAT 712-14 ALHAMB BGC,,
2017-01-19,20-74-09 60458872,428.29,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2171 FAWCETT  BGC,,
2017-01-23,20-74-09 40406538,-4.18,PAYMENT,MKC PARKING RINGGO    ON 22 JAN          BCC,,
2017-01-19,20-74-09 60458872,428.28,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1316-18 ALHAM BGC,,
2017-01-23,20-74-09 40406538,-108.79,DIRECTDEBIT,LEXUS FINANCIAL SE    000002430877/10    DDR,,
2017-01-24,20-74-09 40406538,-22.35,PAYMENT,MARKS&SPENCER PLC     ON 23 JAN          CLP,,
2017-01-19,20-74-09 60458872,363.86,DIRECTDEP,BEALS ESTATE AGENT    FLAT 174-6 ALHAMBR BGC,,
2017-01-24,20-74-09 40406538,-262.24,PAYMENT,CONQUEST OIL COMPA    ON 23 JAN          BCC,,
2017-01-19,20-74-09 60458872,338.34,DIRECTDEP,BEALS ESTATE AGENT    FLAT 4163 FRATTON  BGC,,
2017-01-25,20-74-09 40406538,-4.08,PAYMENT,BP BEDFORD EXPRESS    ON 23 JAN          CLP,,
2017-01-19,20-74-09 60458872,332.28,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2169 FAWCETT  BGC,,
2017-01-19,20-74-09 60458872,314.5,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3163 FRATTON  BGC,,
2017-01-25,20-74-09 40406538,-22.04,PAYMENT,DW SPORTS FITNESS     ON 24 JAN          BCC,,
2017-01-19,20-74-09 60458872,267.37,DIRECTDEP,BEALS ESTATE AGENT    FLAT 68 ALHAMBRA R BGC,,
2017-01-26,20-74-09 40406538,-20.67,PAYMENT,BP NEWHAM AVENUE C    ON 24 JAN          CLP,,
2017-01-19,20-74-09 60458872,107.58,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1012-14 ALHAM BGC,,
2017-01-26,20-74-09 40406538,-20.54,PAYMENT,WM MORRISON STORE     ON 25 JAN          CLP,,
